asin,authors,average_rating,book_url,description_html,genre,image_url,price,print_length,published_date,publisher,ratings_count,reviews_url,title
B010FBL4YY,Vadhan(Author), 4.2 ,https://www.amazon.in/Shatru-Kronikles-Book-1-Vadhan-ebook/dp/B010FBL4YY/ref=sr_1_100?qid=1694593430&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-100,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span>A Fantasy fan? 'Shatru', Kronikles Book-1 will hold you fast with a tale based on the more than 10,000 year old myths of India.<br><br>It's the end of our days. <br>Our reality will be shattered. <br>The foundations of the universe are set to be destroyed. <br><br>A demon is unleashed from the underbelly of nature<br>To take a father from a son, <br>Kill a mother protecting her child, <br>Destroy a world to kill one boy, <br>Make a lover betray her man.<br><br>Even the Gods are powerless. <br><br>Vengeance will rise, <br>Worlds will fall, <br>Evil will ascend... <br>Shatru will oppose it. <br><br>If he does not, the one person who means the world to him will die...<br></span>  </div>","Fantasy, Science Fiction & Horror",, 225.38 ,223 pages,25 June 2015,,50 ratings,https://www.amazon.in/Shatru-Kronikles-Book-1-Vadhan-ebook/product-reviews/B010FBL4YY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Shatru: Kronikles Book 1 
B0BMV4BYRB,M. Rajshekhar(Author), 4.6 ,https://www.amazon.in/Despite-State-India-Lets-People-ebook/dp/B0BMV4BYRB/ref=sr_1_97?qid=1694593435&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-97,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span class=""a-text-bold"">About the Book</span><span><br><br></span><span class=""a-text-bold"">A LUCID, NECESSARY ACCOUNT OF HOW DRASTICALLY THE INDIAN STATE FAILS ITS CITIZENS</span><span><br>The story of democratic failure is usually read at the level of the nation, while the primary bulwarks of democratic functioning—the states—get overlooked. This is a tale of India’s states, of why they build schools but do not staff them with teachers; favour a handful of companies so much that others slip into losses; wage water wars with their neighbours while allowing rampant sand mining and groundwater extraction; harness citizens’ right to vote but brutally crack down on their right to dissent. Reporting from six states over thirty-three months, award-winning investigative journalist M. Rajshekhar delivers a necessary account of a deep crisis that has gone largely unexamined.<br><br></span><span class=""a-text-bold"">About the Author</span><span><br><br>M. Rajshekhar started his career as a business reporter in 1997. He began reporting on environmental issues as a freelance journalist in 2005. After a brief stint with the World Bank, an MA at the University of Sussex, and two years of independent research—spent studying the village-level impact of an agribusiness model in central India and the drafting process which produced India’s Forest Rights Act—he joined the Economic Times to report on rural India and environment in 2010. During this period, he won two Shriram Awards for Excellence in Financial Journalism (2013 and 2014).<br>He joined </span><span class=""a-text-italic"">Scroll.in</span><span> in 2015 to do a thirty-three-month-long reporting project, </span><span class=""a-text-italic"">Ear to the Ground</span><span>, which became the substrate for this book. This series won the Ramnath Goenka Excellence in Journalism Award (2015), the Bala Kailasam Memorial Award (2016), and two more Shriram Awards for Excellence in Financial Journalism (2015 and 2016).<br>He now writes on energy, environment, climate change, political corruption and oligarchy.</span>  </div>",Politics & Government eBooks,, 254.46 ,301 pages,1 October 2022,Context,315 ratings,https://www.amazon.in/Despite-State-India-Lets-People-ebook/product-reviews/B0BMV4BYRB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Despite The State : Why India Lets Its People Down And How They Cope 
B096TYDZYT,Scott Allan(Author), 4.5 ,https://www.amazon.in/Hard-Things-First-Procrastination-Bulletproof-ebook/dp/B096TYDZYT/ref=sr_1_111?qid=1694593442&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-111,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <p><span class=""a-text-bold"">***NOW AVAILABLE WORLDWIDE IN 12 LANGUAGES***<br><br>Break the Procrastination Habit, Accelerate Your Productivity, and Take Control of Your Life NOW.</span></p><p><span class=""a-text-italic"">Are you living in chaos because you constantly put off critical tasks until the last minute? Do you feel disorganized both at home and at work? Do you experience feelings of anxiety, frustration, and helplessness with all your incomplete projects?</span></p><p><span>If so, it’s time to defeat the procrastination habit and rewire your habits for doing difficult work now.</span></p><p><span class=""a-text-bold"">“Reinvent Your Approach to Doing Difficult Work and Stop Delaying to Live Your Life.”</span></p><p><span>Bestselling author and personal development trainer Scott Allan, wants you to </span><span class=""a-text-bold"">defeat procrastination</span><span>, </span><span class=""a-text-bold"">eliminate negative self-talk</span><span> and </span><span class=""a-text-bold"">overcome lazy tendencies</span><span> to delay hard work. In this hands-on practical guide, you’ll learn Scott's step-by-step method to </span><span class=""a-text-bold"">break the procrastination habit</span><span> and </span><span class=""a-text-bold"">end self-sabotage.</span></p><p><span>In </span><span class=""a-text-italic"">Do the Hard Things First,</span><span> Scott Allan teaches you how to:</span></p><ul class=""a-unordered-list a-vertical""><li><span class=""a-list-item""><span class=""a-text-bold"">Control self-defeating distractions</span><span> and </span><span class=""a-text-bold"">manage Shiny Object Syndrome</span><span>.</span></span></li><li><span class=""a-list-item""><span>Identify </span><span class=""a-text-bold"">key constraints</span><span> holding you back and </span><span class=""a-text-bold"">take massive action</span><span> for optimal results.</span></span></li><li><span class=""a-list-item""><span>Avoid doing random tasks and </span><span class=""a-text-bold"">time block your critical work</span><span>.</span></span></li><li><span class=""a-list-item""><span>Identify </span><span class=""a-text-bold"">negative coping mechanisms</span><span> and develop a great </span><span class=""a-text-bold"">work ethic</span><span>.</span></span></li><li><span class=""a-list-item""><span>Implement daily exercises for </span><span class=""a-text-bold"">making better choices</span><span> and </span><span class=""a-text-bold"">building greater confidence</span><span> in decision-making.</span></span></li><li><span class=""a-list-item""><span class=""a-text-bold"">Structure your priorities</span><span> by single-focusing on what matters most</span></span></li><li><span class=""a-list-item""><span class=""a-text-bold"">Train your brain</span><span> to </span><span class=""a-text-bold"">master attention</span><span> by interrupting sudden impulse snaps</span></span></li><li><span class=""a-list-item""><span class=""a-text-bold"">Take responsibility</span><span> for your life and </span><span class=""a-text-bold"">forgive yourself</span><span> for procrastination behavior</span></span></li></ul><p><span><br>Do the Hard Things First</span><span>is structured to </span><span class=""a-text-bold"">save time</span><span>, </span><span class=""a-text-bold"">increase mental energy</span><span>, and teach you to </span><span class=""a-text-bold"">think confidently</span><span> by removing the fear of doing what scares you. You’ll learn how to focus in on your #1 tasks for the day, eliminate overwhelm, and become the best version of yourself in both your work and daily life.</span></p><p><span>It’s Time for a Change. It’s time to start winning instead of losing to the battle that has consumed your life—the battle against procrastination. From today, </span><span class=""a-text-bold"">stop being mean to yourself</span><span>, develop </span><span class=""a-text-bold"">superior discipline and self-control</span><span>, and do whatever it takes to </span><span class=""a-text-bold"">eliminate the stress and anxiety</span><span> procrastination creates.<br><br></span><span class=""a-text-bold"">“Today, Not Tomorrow. Do It Now, Not Later.”</span></p>  </div>",Business & Investing eBooks,, 234.00 ,236 pages,14 June 2021,,503 ratings,https://www.amazon.in/Hard-Things-First-Procrastination-Bulletproof-ebook/product-reviews/B096TYDZYT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Do the Hard Things First: How to Win Over Procrastination and Master the Habit of Doing Difficult Work (Do the Hard Things First Series Book 1) 
B0BSHC1WK8,Anil  G Rane (Author), 4.6 ,https://www.amazon.in/Mutual-Fund-Investment-Multiply-Create-ebook/dp/B0BSHC1WK8/ref=sr_1_109?qid=1694593442&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-109,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span>Mutual fund is one of the best investment options to get passive income and become wealthy. Mutual funds are money multipliers, provided investments are made rightly. This book is ideal for readers who want to gain in-depth knowledge and become successful investors. Content of this book is outcome of two decades of research &amp; investing experience in mutual funds. Reading this book will take the readers gradually from basics to expert level. Writer has covered important topics like saving strategies, setting financial goals, risk profile, portfolio structuring, investment strategies, MF myth, wealth creating techniques, and investment psychology in independent chapters. New investors find it difficult to select the right fund among thousands. Book describes 22 important parameters for evaluation &amp; selection of a right mutual fund. Managing market crush is covered for investors to overcome fear of market volatility. Portfolio Review &amp; Exit strategies are included for readers to understand timely exit. This book will surely help readers take control of their financial journey for mutual fund investment and wealth creation.</span>  </div>",Business & Investing eBooks,, 99.00 ,142 pages,16 January 2023,,134 ratings,https://www.amazon.in/Mutual-Fund-Investment-Multiply-Create-ebook/product-reviews/B0BSHC1WK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Mutual Fund Investment: How To Multiply Money & Create Wealth 
B06Y63T6CJ,ANANT PAI(Author), 4.5 ,https://www.amazon.in/Lila-Chanesar-ANANT-PAI-ebook/dp/B06Y63T6CJ/ref=sr_1_116?qid=1694593446&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-116,,Humour,, 55.65 ,34 pages,1 April 1971,Amar Chitra Katha Pvt Ltd,51 ratings,https://www.amazon.in/Lila-Chanesar-ANANT-PAI-ebook/product-reviews/B06Y63T6CJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Lila and Chanesar 
B01EQH6UMO,"James Warwood(Author, Illustrator)", 4.2 ,https://www.amazon.in/Excuses-Staying-Past-Your-Bedtime-ebook/dp/B01EQH6UMO/ref=sr_1_115?qid=1694593446&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-115,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span>Can you hear footsteps getting closer and closer to your bedroom door? . . . Does the clock say one minute to bedtime? . . . Are you definitely NOT tired yet? . . . Then here’s 49 (extremely silly) excuses for staying up past your bedtime!<br><br>Join the comical adventure of these mischievous kids who will try absolutely anything to get away with staying up past their bedtime. With an illustration for each haphazard attempt, you’re guaranteed to laugh, smirk, and chuckle for hours.<br><br>Disclaimer: reading this eBook will definitely get you into all kinds of trouble! (So if your parents ask where you heard these excuses you didn’t hear them from me).<br><br>Recommended Age: 10+</span>  </div>",Humour,, 99.00 ,85 pages,2 June 2016,,752 ratings,https://www.amazon.in/Excuses-Staying-Past-Your-Bedtime-ebook/product-reviews/B01EQH6UMO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  49 Excuses for Staying Up Past Your Bedtime (The 49 Series Book 6) 
B09WNG5667,"A. Zavarelli(Author), ,Natasha Knight(Author)", 4.6 ,https://www.amazon.in/Her-Rebellion-Rite-Trilogy-Book-ebook/dp/B09WNG5667/ref=sr_1_113?qid=1694593447&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-113,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span>I am a Sovereign Son. A king within The Society.<br>With a look I send men to their knees.<br>Yet she stands tall against me, taunting me with her rebellion. <br><br>But we all have rules we must live by.<br>Even me.<br>And I have broken the most sacred. <br><br>I took her to my bed.<br>I claimed that which did not belong to me. <br><br>And now that the beast within has had a taste, it wants more.</span>  </div>",Historical Fiction,, 415.00 ,322 pages,24 May 2022,,615 ratings,https://www.amazon.in/Her-Rebellion-Rite-Trilogy-Book-ebook/product-reviews/B09WNG5667/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Her Rebellion (The Rite Trilogy Book 2) 
B09M93XSMG,L.  Steele(Author), 4.5 ,https://www.amazon.in/Mafia-Crown-Standalone-Enemies-Romance-ebook/dp/B09M93XSMG/ref=sr_1_112?qid=1694593447&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-112,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span class=""a-text-bold a-text-italic"">""I’ll marry you Sunshine,"" his eyes gleam, ""on one condition.""<br>""What?"" I whisper, ""what is it?""<br>""I get equal stake in the Cosa Nostra business.""</span><span><br><br>He’s my second chance.<br>The man with the face of my first love.<br>A terrifying and magnetically gorgeous man with brutal blue eyes.<br>An outlaw whose very presence sucks the air from my lungs.<br>A monster who doesn't remember his past, whose soul is shrouded in scars, pain, and darkness.<br>A villain who refuses to acknowledge my very existence.<br>The rogue who I am going to marry,<br>For this may be the only chance I have to find happiness.<br>So what if it means binding myself to a man who hates me?<br>Except 'until death do us part' is going to come quicker than anyone knows...<br><br></span><span class=""a-text-bold a-text-italic"">A brute of a Mafia guy clashes with a firebrand florist who refuses to take no for an answer in this intensely emotional pretend marriage, dark Mafia romance. This is a complete stand alone. No other books should be read prior to this. 1-Click NOW</span>  </div>",Historical Fiction,, 499.00 ,352 pages,21 February 2022,,957 ratings,https://www.amazon.in/Mafia-Crown-Standalone-Enemies-Romance-ebook/product-reviews/B09M93XSMG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Mafia Crown: Axel & Theresa's story. Standalone Arranged Marriage Romance (The Sovranos) 
B01NBEFUH7,Charles Darwin(Author), 4.2 ,https://www.amazon.in/Voyage-Beagle-Charles-Darwin-ebook/dp/B01NBEFUH7/ref=sr_1_101_sspa?qid=1694593430&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-101-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl&psc=1,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <p><span class=""a-text-bold"">The Voyage of the Beagle</span><span> by </span><span class=""a-text-bold"">Charles Darwin</span><span>: In this travelogue and scientific study, Darwin recounts his famous expedition aboard the HMS Beagle to South America and the Pacific. With detailed descriptions of the flora, fauna, and geology of the regions he visited, Darwin lays the groundwork for his revolutionary theories of evolution and natural selection.</span></p><p><span class=""a-text-bold"">Key Aspects of the Book ""The Voyage of the Beagle"":</span><span><br> </span><span class=""a-text-bold"">Travelogue:</span><span> Darwin's book is a richly detailed record of his travels aboard the HMS Beagle, providing a vivid and immersive portrait of the places and people he encountered.<br> </span><span class=""a-text-bold"">Scientific Study:</span><span> The book also includes detailed observations and analysis of the flora, fauna, and geology of the regions Darwin visited, laying the groundwork for his later theories on evolution and natural selection.<br> </span><span class=""a-text-bold"">Historical Significance:</span><span> The book is a landmark in the history of science and exploration, and its influence can still be felt in the fields of biology and earth science today.</span></p><p><span class=""a-text-bold"">Charles Darwin</span><span> was an English naturalist and geologist known for his groundbreaking theories on evolution and natural selection. Born in 1809, he traveled widely in his youth, including his famous journey aboard the HMS Beagle. His works, including </span><span class=""a-text-bold"">The Voyage of the Beagle</span><span> and </span><span class=""a-text-italic"">On the Origin of Species</span><span>, continue to be foundational texts in the fields of natural history and evolutionary biology.</span></p>  </div>","Fantasy, Science Fiction & Horror",, 51.45 ,,5 November 2019,Prabhat Prakashan,452 ratings,https://www.amazon.in/Voyage-Beagle-Charles-Darwin-ebook/product-reviews/B01NBEFUH7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  The Voyage of the Beagle: Charles Darwin's Pioneering Journey of Scientific Discovery 
B07V3PXK96,"AW Tozer(Author), ,Digital Fire(Editor)", 4.8 ,https://www.amazon.in/Knowledge-Holy-W-Tozer-ebook/dp/B07V3PXK96/ref=sr_1_101_sspa?qid=1694593433&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-101-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl&psc=1,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span>Originally published in 1961, ‘The Knowledge of the Holy’ written by AW Tozer, an American pastor in the Christian and Missionary Alliance and an author who emphasized the need for a deeper knowledge of God and development of the “inner life.” For this reason he has been described as an “evangelical mystic.” He was extremely influential in evangelical Christianity in his generation and was often called a “twentieth-century prophet.”<br>This is an awe-inspiring classic on the Nature of God. It recaptures a real sense of God's majesty and truly lives in the Spirit. This book irradiates God’s attributes, from wisdom, to grace, to mercy and in doing so, attempts to restore the majesty and wonder of God in the hearts and minds of all Christians. <br>This beloved book, a modern classic of Christian testimony and devotion, addresses these and other vital questions, showing us how we can rejuvenate our prayer life, meditate more reverently, understand God more deeply, and experience God's presence in our daily lives.</span>  </div>",Religion & Spirituality,, 29.00 ,161 pages,11 July 2019,DIGITAL FIRE,"4,157 ratings",https://www.amazon.in/Knowledge-Holy-W-Tozer-ebook/product-reviews/B07V3PXK96/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  The Knowledge of the Holy (DF Christian Bestsellers Book 1) 
B07SB4M2M6,Smita Bhattacharya(Author), 4.0 ,https://www.amazon.in/Kiss-Salt-Darya-Nandkarnis-Misadventures-ebook/dp/B07SB4M2M6/ref=sr_1_102_sspa?qid=1694593437&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-102-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl&psc=1,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <p><span class=""a-text-bold a-text-italic"">For lovers of atmospheric mysteries, with a literary bent and killer twists.</span></p><p><span class=""a-text-bold"">Critic reviews</span></p><p><span class=""a-text-italic"">✓</span><span class=""a-text-italic"">""Darya Nandkarni is an adult Nancy Drew.""</span></p><p><span class=""a-text-italic"">✓</span><span class=""a-text-italic"">""This book gives a refreshing take on the murder mystery genre with style being comparable to the likes of Agatha Christie and Sir Doyle.""</span></p><p><span class=""a-text-italic"">✓</span><span class=""a-text-italic"">""The descriptions of Goa and its beautiful locations made me feel as if I was right there. ""</span></p><p><span class=""a-text-italic"">✓</span><span class=""a-text-italic"">""Fast-paced book, keeps you hooked and guessing till the end.""</span></p><p><span class=""a-text-bold"">Families are dying because of a secret they kept. Can Darya find the killer before he turns to her?</span></p><p><span class=""a-text-bold"">Summary</span><span><br><br>It was crazy really, for Darya to think she could have some peace and quiet at Heliconia Lane. Yes, it was located in a beautiful corner of South Goa—by the beach, no less—but after her Aunt Farideh disappeared twenty years ago—from this very place—nothing has been the same again. And now her uncle was dead under bizarre circumstances as were two of the neighbors on his street.<br><br>What was happening? Was there a murderer on the loose? Why were people dying? Was it connected to her aunt’s disappearance in some way?<br><br>And most importantly, was Darya going to be next?<br><br>A cozy, Agatha Christie-style whodunnit, Kiss of Salt introduces Darya Nandkarni, an amateur, and accidental detective, who is clever, spirited, resourceful, yet troubled and vulnerable. Her adventures will make you laugh, cry, gape, and marvel, and you won't be able to put down the book until you've solved the mystery along with her in the beautiful side-streets of Goa.<br><br></span><span class=""a-text-italic"">If you liked Kiss of Salt, check out the next in the series: THE SECRET ANGELS.<br><br></span><span class=""a-text-bold a-text-italic"">For lovers of Sujata Massey, Nita Prose, Louise Penny, Viveca Sten, and Robert Galbraith. International mystery and crime books set in exotic locations. Cozy yet tension-filled, plot-driven with rich characterization.</span></p>  </div>",Literature & Fiction,, 149.00 ,315 pages,30 July 2019,,207 ratings,https://www.amazon.in/Kiss-Salt-Darya-Nandkarnis-Misadventures-ebook/product-reviews/B07SB4M2M6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Kiss of Salt (Darya Nandkarni's Misadventures Book 1) 
B08TMKH863,Dr. Thomas T Thomas(Author), 4.4 ,https://www.amazon.in/Adventures-Countryside-Doctor-Thomas-ebook/dp/B08TMKH863/ref=sr_1_81_sspa?qid=1694593438&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-81-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl&psc=1,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <h4></h4><h4><span class=""a-text-bold"">Dr. Thomas ventures into a remote rural village in the southern part of India and encounters unique adventures – medical and nonmedical.</span><span><br><br>The amazing experiences are vividly described in this easy-to-read fictional narrative.</span></h4><p><span>Written in easy, witty language, the author has touched upon the pulse of the people and the struggles of a doctor trying to do justice to his patients with limited resources.<br><br>The short chapters bring to life a well-woven series of short incidents that all come together in a rich and elaborate tapestry that capture your imagination and hold you in your seats.</span></p><h4><span>Every chapter of the book is packed with its share of human emotions.<br><br>The straightforward narrative brings out the idiosyncrasies of the village folk that the doctor has to tackle and the medical dilemmas he encounters in his practice.<br><br>The language used is simple, with the right choice of words, flavored with subtle humor.</span></h4><h4><span><br></span><span class=""a-text-bold a-text-italic""><u>Enjoy</u></span><span class=""a-text-italic""> this beautiful book with extremely positive vibes, crafted with simple language and a striking narrative.</span></h4><h4><span class=""a-text-bold a-text-italic""><u>Experience</u></span><span class=""a-text-italic""> the agony of their failures, the ecstasy of triumphs, </span><span class=""a-text-bold a-text-italic"">and the miraculous ending,</span></h4><h4><span><br></span><span class=""a-text-bold""><u>Click the Kindle edition or the Paperback button above to buy the book.</u></span></h4>  </div>","Sciences, Technology & Medicine",, 149.00 ,162 pages,20 January 2021,,354 ratings,https://www.amazon.in/Adventures-Countryside-Doctor-Thomas-ebook/product-reviews/B08TMKH863/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Adventures of a Countryside Doctor: Memoirs of a doctor in a remote village in South India (The Adventure of Life) 
B0CBJYRKGN,Gunjan Arora(Author), 4.2 ,https://www.amazon.in/Rich-Options-Poor-Reading-Traders-ebook/dp/B0CBJYRKGN/ref=sr_1_127?qid=1694593461&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-127,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span>This book is </span><span class=""a-text-bold"">a complete guide for all who aspire to be successful at F&amp;O Trading</span><span>. The content coming from </span><span><u>vast experience</u></span><span> in the industry is highly practical and applicable to the market. The content has been designed to focus on </span><span class=""a-text-bold"">the fundamentals of Future &amp; Option Trading</span><span>, </span><span class=""a-text-italic"">starting from the very basics.</span><span><br><br></span><span class=""a-text-bold"">It will teach you all the essentials</span><span>, like Where does the data come from? Who creates the data? How should data be used for trade execution? What is Open Interest &amp; how should it be analyzed from the perspective of buyers and sellers? And </span><span class=""a-text-bold"">most importantly, this book will share in detail the psychology behind the data</span><span>. With all this understanding,<br></span><span><u>you will begin trading like a pro!</u></span><span><br><br></span><span><u>F&amp;O Data Reading </u></span><span class=""a-text-bold""><u>Expert</u></span><span>, </span><span><u>Options Trading </u></span><span class=""a-text-bold""><u>Mentor</u></span><span>, </span><span class=""a-text-bold""><u>Trader</u></span><span>, </span><span class=""a-text-bold""><u>Author &amp; Entrepreneur</u></span><span> </span><span class=""a-text-bold a-text-italic""><u>Gunjan Arora</u></span><span> is the pioneer of Trading as a bonafide profession. </span><span class=""a-text-italic"">Trained by the best in the industry globally by world-class professional traders and investment bankers from the US, London, Dubai &amp; Frankfurt</span><span>, he founded and is successfully running an academy for </span><span class=""a-text-bold a-text-italic"">“Professional Traders”</span><span>.<br><br>• He has exemplary </span><span class=""a-text-bold"">expertise</span><span> in the field of </span><span class=""a-text-bold"">data reading in F&amp;O segments</span><span> and a powerful understanding of time correction on charts.<br><br>• He has </span><span class=""a-text-bold"">trained</span><span> more than </span><span class=""a-text-bold"">12000+ traders</span><span> in his academy; out of those, </span><span class=""a-text-bold"">3200+ traders have been actively trading</span><span> on their own and are consistently profitable.<br><br>• Has </span><span class=""a-text-bold"">invented</span><span> the </span><span class=""a-text-bold"">MRSD Framework</span><span> specifically </span><span class=""a-text-bold"">designed for the Indian markets</span><span> &amp; has been training his students using charts &amp; data together.<br><br>• He has also been </span><span class=""a-text-bold"">developing software for in-house purposes</span><span>, serving multiple domains such as Data Reading, Trade Management Systems, Copy Trading &amp; High-Frequency Trading.</span>  </div>",Business & Investing eBooks,, 199.00 ,76 pages,9 July 2023,,66 ratings,https://www.amazon.in/Rich-Options-Poor-Reading-Traders-ebook/product-reviews/B0CBJYRKGN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"  Rich Options, Poor Options: Data Reading In (F&O) Is The Hidden Skill, Only Rich Traders use It, Learn Why 99% Loose Money And 1% Make Money In Option Buying "
B07CNHRWWD,Rajani Thindiath(Author), 4.4 ,https://www.amazon.in/Tinkle-Magazine-611-Rajani-Thindiath-ebook/dp/B07CNHRWWD/ref=sr_1_132?qid=1694593464&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-132,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span>July is all about the fun and excitement of going back to school. So, we begin with a zany Butterfingers story ‘School Escort’. What happens when Butter is made responsible for getting a tiny tot to school? Disaster? You bet! Following soon after, is our Tinkle Original Story Competition second prize winner, ‘Mission LKG Admission’, a light-hearted look at the maddening process of school admissions. And then we take you ‘On a Little Spin’ all because Little Shambu and Little Suppandi make a wish to skip their school years. <br>Can you imagine a dinosaur let loose in your school? You would, if you had read ‘Brain+Brawn’. We are not done yet for the school mania has gotten into our feature pages as well. If you love puns you should love ‘Pun’ishment Time and if you have ever wished for gadgets to make school life easy, you should be thrilled with ‘Here Comes School’. We move on to the fun feature ‘Ten Ways to Make the Best of School Days’ and to cap it all we have a special Tinkle Time Table just for you! Apart from our school special, do check out the next chapter in The Puppy Chronicles ‘Horus the Saviour’ and the wicked antics of Tantri in ‘A Matter of Opinion’. Enjoy!</span>  </div>",Humour,, 42.00 ,58 pages,1 July 2013,Amar Chitra Katha Pvt Ltd,401 ratings,https://www.amazon.in/Tinkle-Magazine-611-Rajani-Thindiath-ebook/product-reviews/B07CNHRWWD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Tinkle Magazine 611 
B06XJ3Q5J5,SUBBA RAO(Author), 4.4 ,https://www.amazon.in/Ajatashatru-SUBBA-RAO-ebook/dp/B06XJ3Q5J5/ref=sr_1_131?qid=1694593464&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-131,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span>Ajatashatru is ridden with guilt. What does a king do when, in a moment of misguided ambition, he orders the death of his own father? Ajatashatru wages war on his neighbours with brilliant new machines, expands his realm to make it a powerful empire and founds the new capital city of Pataliputra (modern Patna). But try as he might, he cannot shed his feelings of remorse and sorrow, until Gautama Bauddha shows him the way...</span>  </div>",Humour,, 55.65 ,32 pages,1 January 2000,Amar Chitra Katha Pvt Ltd,78 ratings,https://www.amazon.in/Ajatashatru-SUBBA-RAO-ebook/product-reviews/B06XJ3Q5J5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Ajatashatru 
